Arabic,English,Hebrew,Russian,French
عمى,my paternal uncle,דודי,мой дядя по отцовской линии,mon oncle paternel
أوز,Geese,אווזים,Гусей,Oies
حراسة,Guardianship,פַּטרוֹנוּת,Опекунство,Tutelle
بصفتي,As,כפי ש,Как,Comme
الوثائق,documents,מסמכים,документы,documents
يتحكم,Control,לִשְׁלוֹט,Контроль,Contrôle
تدركين,You are aware,אתה מודע,Вы знаете,Vous êtes au courant
بانني,Ban me,אסור אותי,Запретить мне,M'interdire
فكل,Both,שניהם,Оба,Les deux
رخيص,cheap,זול,дешевый,bon marché
اقطع,Cutt off,להפסיק,отрезана,Coupé
ألين,Alien,חייזר,Чужак,Extraterrestre
دمه,Blood,דָם,Кровь,Sang
كيلر,Killer,רוֹצֵחַ,Убийца,Tueur
الدموية,Bloody,אָרוּר,Кровавый,Sanglant
مُشكلة,problem,בעיה,проблема,problème
والسيدة,And the lady,והגברת,И леди,Et la dame
الأمواج,the waves,הגלים,волны,les vagues
اشارة,Signal,סימן,Сигнал,Signal
إيلاي,Eli,אלי,Эли,Eli
يولد,Generate,לִיצוֹר,Генерировать,Générer
البقعة,Stain,כֶּתֶם,Пятно,Tache
لأنّها,Because she,בגלל שהיא,Потому что она,Parce-qu'elle
آلات,Machines,מכונות,Машины,Machines
النّاس,the people,האנשים,люди,les gens
أكسل,Laziness,עַצלוּת,Лень,Paresse
جثته,His body,הגוף שלו,Его тело,Son corps
توصيلة,Connection,חיבור,Связь,Connexion
بالنهاية,at the end,בסופו של דבר,в конце,à la fin
وصلتني,I received,קיבלתי,я получил,j'ai reçu
تصاب,Hurt,כאב,Повредить,Blesser
روميو,Romeo,רומיאו,Ромео,Roméo
بفتح,Open,לִפְתוֹחַ,Открыть,Ouvrir
سيساعد,will help,יעזור,помогу,aidera
غيور,jealous,קַנָאִי,ревнивый,jaloux
طابق,floor,קומה,пол,sol
الفول,Beans,שעועית,Бобы,Haricots
أغسطس,August,אוגוסט,Август,Août
الإنسانية,Humanity,אֶנוֹשִׁיוּת,Человечество,Humanité
ابنها,Her son,בנה,Ее сын,Son fils
الصحفي,Journalist,עִתוֹנָאִי,Журналист,Journaliste
كارسون,Carson,קרסון,Карсон,Carson
لاي,for any,לכל,для любого,pour toute
مجاناً,Free,חינם,Бесплатно,Gratuit
مملكة,kingdom,מַלְכוּת,Королевство,Royaume
وحينها,And then,ואז,А потом,Et puis
يخفي,Hide,להתחבא,Скрывать,Cacher
تتخلى,Giving up,לוותר,Сдаваться,Abandonner
الفارس,the Knight,האביר,рыцарь,Le chevalier
المحلي,the local,המקומי,местный,le local
بحاجةٍ,Need,צוֹרֶך,Нуждаться,Besoin
علماء,Scholars,חוקרים,Ученые,Savants
الكيس,Cyst,כִּיס,Киста,Kyste
ظننته,I thought it,חשבתי את זה,"я думал, что это",je le pensais
أقطع,Cutt off,להפסיק,отрезана,Coupé
أطباء,Doctors,רופאים,Врачи,Médecins
الستة,Six,שֵׁשׁ,Шесть,Six
وقوع,Occurrence,הִתרַחֲשׁוּת,Вхождение,Occurrence
عملاق,giant,עֲנָק,гигант,géant
حقيقيا,Real,אמיתי,Настоящий,Réel
تأخذها,Take it,קח את זה,Возьми это,Prends-le
أسير,prisoner,אָסִיר,в плену,prisonnier
برامج,Programs,תוכניות,Программы,Programmes
يراقب,Monitor,צג,Монитор,Moniteur
أقوياء,Strong,חָזָק,Сильный,Fort
مجاني,Complimentary,מַחמִיא,Бесплатный,Complémentaire
خليج,bay,מִפרָץ,залив,baie
لفتاة,For a girl,לילדה,Для девушки,Pour une fille
لسانك,your tongue,הלשון שלך,твой язык,ta langue
للصيد,Hunting,ציד,Охота,Chasse
نوح,Noah,נוח,Ной,Noé
مطرود,Disqualified,פָּסוּל,Дисквалифицирован,Disqualifié
بأعمال,In business,בעסקים,В бизнесе,Dans les affaires
يعقل,Rationalize,לְיַעֵל,Рационализировать,Rationaliser
أخفقت,I failed,נכשלתי,Я провалил,J'ai échoué
الفرن,the oven,התנור,печь,le four
لأسباب,For reasons,מסיבות,По причинам,Pour des raisons
قلة,lack,חוֹסֶר,недостаток,manque
لإجراء,For procedure,להליך,Для процедуры,Pour la procédure
دمر,Destroyed,נהרס,Уничтожен,Détruit
أبواب,door,דלת,дверь,porte
مخالفة,infringement,הֲפָרָה,нарушение,infraction
نوعية,Quality,איכות,Качество,Qualité
بصدد,Regarding,לגבי,Касательно,Concernant
أجلكِ,Your sake,השק שלך,У тебя,Votre bien
محظوظاً,Lucky,בַּר מַזָל,Удачливый,Chanceux
تعيين,hiring,שְׂכִירָה,найм,désignation
القي,cast down,לזרוק,опускать,rejeter
الإتصالات,Telecommunications,טלקומוניקציה,Телекоммуникации,Télécommunications
ماريان,Marianne,מריאן,Марианна,Marianne
التأخير,Delay,לְעַכֵּב,Задерживать,Retard
الدراجات,Bicycle,אופניים,Велосипед,Vélo
الأصفر,Yellow,צהוב,Желтый,Jaune
تَقُولُ,Says,אומר,Говорит,Dit
كينيدي,Kennedy,קנדי,Кеннеди,Kennedy
الحروب,Wars,מלחמות,Войны,Guerres
عنيف,violent,אלים,жестокий,violent
الدمية,Doll,בּוּבָּה,Кукла,Poupée
تجرب,Experience,ניסיון,Опыт,Expérience
تشايس,Chase,מִרדָף,Гнаться,Chasse
بيدك,Your hand,היד שלך,Твоя рука,Ta main
بأمكاني,I can,אני יכול,Я могу,Je peux
علمني,He taught me,הוא לימד אותי,Он научил меня,Il m'a appris
تكاليف,Costs,עלויות,Расходы,Frais
شرعية,legitimacy,לֵגִיטִימִיוּת,легитимность,légitimité
معاملة,treatment,יַחַס,уход,traitement
زيت,oil,שמן,масло,huile
نرغب,We wish,אנחנו מקווים,Мы желаем,Nous souhaitons
لبيع,To sell,למכור,Продавать,Vendre
البشرة,skin,עור,кожа,peau
عمق,Depth,עוֹמֶק,Глубина,Profondeur
السحرة,Magicians,קוסמים,Волшебники,Magiciens
أس,W.,ו.,W.,W.
الورم,Tumor,גידול סרטני,Опухоль,Tumeur
فكّرت,I thought,חשבתי,я думал,Je pensais
القوية,Powerful,חָזָק,Мощный,Puissant
أمم,Nations,אומות,Народы,Nations
ضرورياً,Essential,חִיוּנִי,Существенный,Essentiel
تنصت,Listen,להקשיב,Слушать,Écouter
الوشم,Tattoo,לְקַעֲקֵעַ,Татуировка,Tatouage
رؤيتكِ,seeing you,רואה אותך,видя тебя,vous voir
فليكن,Let it be,תן לזה להיות,Будь как будет,Qu'il en soit ainsi
باللغة,In language,בשפה,На языке,En langue
يكونا,They are,הם,Они есть,Ils sont
هوارد,Howard,האוורד,Говард,Howard
بس,but,אבל,но,mais
عينات,Samples,דגימות,Образцы,Échantillons
بقطع,Cut,גזירה,Резать,Couper
قضيبك,Your penis,הפין שלך,Ваш пенис,Votre pénis
ويسكي,whiskey,וויסקי,виски,whisky
ثور,bull,שׁוֹר,бык,taureau
المخبر,Laboratory,מַעבָּדָה,Лаборатория,Laboratoire
يلقي,Throw,לזרוק,Бросать,Lancer
الاسفل,lower,נמוך יותר,ниже,inférieur
تؤلمني,My ____ hurts,____ שלי כואב,У меня болит,J'ai mal au
الرواق,the hallway,המסדרון,коридор,le couloir
ينجو,Survive,לִשְׂרוֹד,Выживать,Survivre
بمناسبة,On the occasion,בהזדמנות,По случаю,À l'occasion
وعدم,And the lack of,והיעדר,И отсутствие,Et le manque de
المعدة,Stomach,בֶּטֶן,Желудок,Estomac
تريدنا,You want us,אתה רוצה אותנו,Вы хотите нас,Tu veux de nous
يهودي,Jewish,יהודי,Еврейский,juif
وأيضا,And also,וגם,А также,Et aussi
نبقي,we stay,אנחנו נשארים,мы остаемся,nous restons
يمين,right,ימין,верно,Droite
اموت,I die,אני מת,я умер,je meurs
ضباط,Officers,קצינים,Офицеры,Officiers
مذهلاً,Amazing,מדהים,Удивительный,Incroyable
أغراض,Purposes,מטרות,Цели,Objectifs
خالد,immortal,חאלד,бессмертный,immortel
كلايد,Clyde,קלייד,Клайд,Clyde
أواعد,Norm,נוֹרמָה,Норма,Norme
مُجرّد,merely,רק,просто,simplement
سافعل,I do,עידו,Я делаю,Je fais
مجرى,Stream,זרם,Транслировать,Flux
الأمريكيين,Americans,אמריקאים,Американцы,les Américains
بلاد,Countries,מדינות,Страны,Des pays
جوين,Join,לְהִצְטַרֵף,Присоединиться,Rejoindre
بنيت,was built,נבנה,был построен,a été construit
ولديك,And my son,ובני,И мой сын,Et mon fils
القبر,Grave,קבר,Могила,Grave
القريب,near,ליד,около,près
تعثر,bog down,לשקוע למטה,увязнуть,enliser
إختفت,Disappear,לְהֵעָלֵם,Пропадать,Disparaître
اليهم,To them,להם,Им,Pour eux
خادم,Servant,מְשָׁרֵת,Слуга,Serviteur
خيال,imagination,דִמיוֹן,воображение,imagination
فعلي,actual,מַמָשִׁי,действительный,réel
لعلمك,For your knowledge,בשביל הידע שלך,Для ваших знаний,Pour vos connaissances
تتصرفين,You behave,אתה מתנהג,Вы ведете себя,Tu te comporte
وجهاً,To the face,לפנים,К лицу,Au visage
تتحقق,Be fulfilled,להתגשם,Быть выполненным,Être rempli
قوس,Arch,קֶשֶׁת,Архи,Cambre
العمود,Column,טור,Столбец,Colonne
الأنف,the nose,האף,нос,le nez
وفقط,Only,רק,Только,Seul
حلقات,Rings,טבעות,Кольца,Anneaux
يقرب,Closer,יותר קרוב,Ближе,Plus proche
ياللروعة,Wow,וואו,Ух ты,Ouah
أتقصد,I mean,אני מתכוון,Я имею в виду,Je veux dire
الخريف,autumn,סתָיו,осень,automne
تثقي,Discharge,פְּרִיקָה,Увольнять,Décharge
نتمنى,we wish,אנחנו מקווים,мы желаем,nous souhaitons
العنق,neck,צוואר,шея,cou
لطفاء,Foolish,טִפּשִׁי,Глупый,Idiot
هارت,Hart,הארט,Харт,Cerf
أوّلاً,Firstly,קוֹדֶם כֹּל,Во-первых,d'abord
تقلقوا,They worried,הם דאגו,Они волновались,Ils s'inquiètent
باتجاه,towards,לִקרַאת,к,vers
رؤيتهم,Seeing them,לראות אותם,Видя их,Les voir
لاتقلقي,Don't worry,אל תדאגי,Не волнуйся,Ne vous inquiétez pas
قدومك,Your arrival,הגעתך,Ваше прибытие,Votre arrivée
المظلم,Dark,אפל,Темный,Sombre
فتاتك,Your girl,הבת שלך,Ваша девушка,Votre fille
أتعرفون,You know,אתה יודע,Ты знаешь,Tu sais
تتواجد,Exist,קיימים,Существовать,Exister
نزال,Fight,מַאֲבָק,Драться,Lutte
بالتوفيق,Good luck,בהצלחה,Удачи,Bonne chance
طراز,style,סִגְנוֹן,стиль,style
مجموعات,Collections,אוספים,Коллекции,Collections
اقرأ,Read,קרא,Читать,Lire
متأكّدة,Sure,בטוח,Конечно,Bien sûr
التفتيش,Inspection,בְּדִיקָה,Осмотр,Inspection
بيلا,Bella,בלה,Белла,Bella
ستظل,You will remain,אתה תישאר,Вы останетесь,Tu resteras
بالمدينة,In the city,בעיר,В городе,Dans la ville
السفير,Ambassador,שַׁגְרִיר,Посол,Ambassadeur
مرتفعة,High,גָבוֹהַ,Высокий,Haut
ذراع,arm,זְרוֹעַ,рука,bras
ليقوم,To do,לעשות,Делать,Faire
المختلفة,Different,שונה,Другой,Différent
كلبي,My dog,הכלב שלי,Моя собака,Mon chien
وأظن,I think,אני חושב,Я думаю,Je pense
بطريقه,in a way,בדרך,в некотором смысле,dans un sens
سأعرف,I will know,אני אדע,Я буду знать,je saurai
ثيو,Theo,תיאו,Тео,Theo
داي,Dai,דאי,Дай,Dai
خاطئاً,Wrongly,בטעות,Неправильно,À tort
عصيب,Hard,קָשֶׁה,Жесткий,Dur
الدمى,Doll,בּוּבָּה,Кукла,Poupée
ويمكننا,And we can,ואנחנו יכולים,И мы можем,Et nous pouvons
أحذرك,I warn you,אני מזהיר אותך,я предупреждаю вас,je te préviens
ألاحظ,I notice,שמתי לב,я заметил,je remarque
إذاَ,if,אם,если,si
رغبتي,My desire,התשוקה שלי,Мое желание,Mon désir
عقاب,punishment,עונש,наказание,Châtiment
السافلة,The Salaf,הסלף,Салаф,La salaf
أيدينا,Our hands,הידיים שלנו,Наши руки,Nos mains
أطرح,Put out,לכבות,Выводить из себя,Éteindre
تقفز,Jump,קְפִיצָה,Прыгать,Saut
لجمع,To collect,לאסוף,Коллекционировать,Collecter
يختار,He chooses,הוא בוחר,Он выбирает,Il choisit
بالخطأ,by mistake,בטעות,по ошибке,par erreur
يعترف,Confess,לְהוֹדוֹת,Признаваться,Confesser
المقهى,Cafe,בֵּית קָפֶה,Кафе,Café
دافني,Dafni,דפני,Дафни,Dafni
جويل,Joel,ג'ואל,Джоэл,Joel
بُني,brown,בני,коричневый,brun
سأضطر,I will have to,אני אצטרך,Мне придется,Je vais devoir
للأكل,To eat,לאכול,Есть,Manger
شاين,Xine,Xine,Син,Xine
البسكويت,Biscuits,ביסקוויטים,Печенье,Des biscuits
ببيع,Selling,מוכר,Продажа,Vente
وجدتك,I found you,מצאתי אותך,Я нашел тебя,je vous ai trouvé
إنجاز,completion,סִיוּם,завершение,achèvement
العدوى,Infection,הַדבָּקָה,Инфекционное заболевание,Infection
تعريف,identification,הגדרה,идентификация,une définition
ولكنّه,But,אבל,Но,Mais
تعليمات,directions,הוראות,указания,directions
بالمرة,Totally,לְגַמרֵי,Полностью,Totalement
أعطوني,Give me,תן לי,Дай мне,Donne-moi
أضحك,Laugh,לִצְחוֹק,Смех,Rire
زواجك,Your marriage,הנישואים שלך,Ваш брак,Votre mariage
مؤامرة,Conspiracy,קֶשֶׁר,Заговор,Conspiration
برغم,despite,למרות,несмотря на,malgré
حادثاً,An accident,תאונה,Несчастный случай,Un accident
لوغان,Logan,לוגן,Логан,Logan
غرفه,room,חדר,комната,chambre
تعرفوا,Know,לָדַעַת,Знать,Savoir
قلبى,my heart,לבי,мое сердце,mon cœur
تكونا,They are,הם,Они есть,Ils sont
السموم,Toxins,רעלים,Токсины,Toxines
لكونك,To be you,להיות אתה,Быть тобой,Etre toi
اسوء,Worse,רע יותר,Худший,Pire
فورًا,immediately,מיד,немедленно,immédiatement
بيكا,Becca,בקה,Бекка,Becca
نمضي,We go,אנחנו הולכים,Мы идем,Nous allons
يرن,rings,טבעות,кольца,anneaux
حصلتي,You got,יש לך,Ты получил,Vous avez
تحبّ,Love,תאהב,Любовь,Tu aimes
ياسيد,Sir,אֲדוֹנִי,Сэр,Monsieur
توضيح,clarification,הבהרה,разъяснение,clarification
ذئب,wolf,זאב,волк,loup
كلينا,Both,שניהם,Оба,Les deux
خادمة,maid,משרתת,служанка,femme de ménage
ستيلا,Stella,סטלה,Стелла,Stella
إلىّ,to,ל,к,pour
منازل,Homes,בתים,Дома,Maisons
تخشى,Feared,פחד,Боялся,Craignait
أشكر,I thank,אני מודה,я благодарен,je remercie
عمت,Prevail,לִגבּוֹר,Преобладать,Prévaloir
عشرات,tens,עשרות,десятки,dizaines
تعودين,You return,אתה חוזר,Вы вернетесь,Vous revenez
اترى,See,לִרְאוֹת,Видеть,Voir
يتعيّن,should,צריך,должен,devrait
والذى,And that,וזה,И это,Et cela
خلع,stripped off,הופשט,снял,dépouillé
وجيه,facet,פָּן,аспект,facette
منزلاً,Home,בית,Дом,Maison
الرضيع,Infant,תִינוֹק,Младенец,Nourrisson
مريم,Mariam,מריאם,Мариам,Mariam
إذهبْ,Go,לך,Идти,Aller
معهد,institute,מכון,институт,institut
آري,Show,הופעה,Показывать,Montrer
روحه,His soul,הנשמה שלו,Его душа,Son âme
الحظيرة,Barn,אֹסֶם,Сарай,Grange
ترتفع,Rising,עוֹלֶה,Поднимаясь,En hausse
الروسي,Russian,רוּסִי,Русский,russe
عملياً,practically,למעשה,практически,pratiquement
رساله,message,הודעה,сообщение,Message
اللغز,Puzzle,חִידָה,Головоломка,Puzzle
البوكر,Poker,פּוֹקֶר,Покер,Poker
رقمك,Your number,המספר שלך,Твой номер,Ton numéro
سمين,fat,שמן,толстый,graisse
غريس,Gyrce,Gyrce,Гирс,Girule
دانى,Condemned,נידון,Осужден,Dany
تانيا,Tania,טניה,Таня,Tania
سيقتل,He will be killed,הוא ייהרג,Он будет убит,Il sera tué
طعامك,Your food,האוכל שלך,Твоя еда,Ta nourriture
سأعيد,I will restore,אני אשחזר,Я восстановлю,Je vais restaurer
مونتي,Monte,מונטה,Монте,Monte
السمكة,the fish,הדגים,рыба,le poisson
تقولها,You say it,אתה אומר את זה,Ты скажи,Tu l'as dit
غراي,Gray,אפור,Серый,Gris
السفارة,Embassy,שגרירות,Посольство,Ambassade
الكرات,Balls,כדורים,Мячи,Des balles
فونت,Font,גוֹפָן,Шрифт,Police de caractère
يسكن,Live,לחיות,Жить,En direct
كونج,Kong,קונג,Конг,Kong
إيذاء,Harming,פגיעה,Нанесение вреда,Nuire
الموسيقي,Music,מוּסִיקָה,Музыка,Musique
الرفيق,Companion,בן לוויה,Товарищ,Compagnon
ديان,Dian,דיאן,Диан,Dian
الجهد,Effort,מַאֲמָץ,Усилие,Effort
ظللت,I kept,שמרתי,Я продолжал,j'ai gardé
المروحية,The helicopter,המסוק,Вертолет,L'hélicoptère
ضمان,a guarantee,הבטחה,гарантия,une garantie
أمسكوا,Hold,לְהַחזִיק,Держать,Prise
لقدومك,For your arrival,להגעתך,Для вашего прибытия,Pour votre arrivée
نوقف,We stop,אנחנו עוצרים,Мы останавливаемся,Nous nous arrêtons
اللحوم,Meat,בָּשָׂר,Мясо,Viande
أحمقاً,Foolish,טִפּשִׁי,Глупый,Idiot
سوني,Sony,סוני,Sony,Sony
الخارق,Superhero,גיבור על,Супергерой,Super-héros
بفحص,By examining,על ידי בחינת,Путем изучения,En examinant
صدرك,Your chest,החזה שלך,Ваша грудь,Votre poitrine
دونغ,Dong,דונג,Донг,Dong
القادمه,Next,הַבָּא,Следующий,Suivant
تحل,Solve,לִפְתוֹר,Решать,Résoudre
العاملين,staff,צוות,персонал,personnel
أسرق,Stole,צָעִיף,Украл,A volé
تعزف,Play,לְשַׂחֵק,Играть,Jouer
ديسمبر,December,דצמבר,Декабрь,Décembre
أدوية,Drugs,סמים,Наркотики,Drogues
قفل,a lock,מנעול,замок,un verrou
دمي,Blood,דָם,Кровь,Sang
لأحصل,To get,להשיג,Получить,Obtenir
فعلتَ,I did,אני עשיתי,Я сделал,Je l'ai fait
مراجعة,review,חזרה,обзор,examen
فانيسا,Vanessa,ונסה,Ванесса,Vanessa
تاتي,Come,לבוא,Приходить,Venir
الزمني,Timeline,ציר זמן,График,Calendrier
أترغب,Do you want,האם אתה רוצה,Вы хотите,Est-ce que tu veux
لحضور,To attend,להיות נוכח,Посещать,Participer
الخزنة,the safe,הכספת,Безопасность,le coffre-fort
البسيطة,Minor,קַטִין,Незначительный,Mineure
التسلل,Offside,בְּנִבְדָל,Офсайд,Hors-jeu
قبيحة,Ugly,מְכוֹעָר,Уродливый,Laid
الانتحار,Suicide,הִתאַבְּדוּת,Самоубийство,Suicide
الجزر,carrots,גזרים,морковь,carottes
عملى,practical,מַעֲשִׂי,практичный,pratique
ممتنة,Grateful,אסיר תודה,Благодарный,Reconnaissant
ستو,Sto,סטו,Сто,Faire un sto
المعتوه,boob,טֶמבֶּל,сиська,seins
لأبي,To my father,לאבי,Моему отцу,À mon père
هون,here,כאן,здесь,ici
تريدينني,You want me,אתה רוצה אותי,Ты хочешь меня,Tu me veux
بساطة,simplicity,פַּשְׁטוּת,простота,simplicité
أغراضك,Your purposes,המטרות שלך,Ваши цели,Vos objectifs
عنّا,About us,עלינו,О нас,À propos de nous
الاستحمام,Bathing,רַחְצָה,Купание,Baignade
تتدخل,Intervenes,מתערב,Вмешивается,Intervient
يرغبون,They wish,הם רוצים,Они хотят,Ils souhaitent
شعرتُ,I felt,הרגשתי,я почувствовал,j'ai senti
ويد,Hand,יד,Рука,Main
عاجل,urgent,דחוף,срочный,urgent
قفزت,I jumped,קפצתי,я прыгнул,j'ai sauté
تجعلها,Make it,לעשות את זה,Сделай это,Fais-le
وآخر,And another,ועוד,И другой,Et un autre
الردهة,Lobby,לובי,Лобби,Lobby
الضباب,the fog,הערפל,туман,le brouillard
نجتمع,We meet,אנחנו נפגשים,Мы встретились,Nous rencontrons
الساحرات,Witches,מכשפות,Ведьмы,Sorcières
انجلترا,England,אנגליה,Англия,Angleterre
لقطات,Shots,יריות,Выстрелы,Coups
الآمر,Commander,מְפַקֵד,Командир,Le commandant
المظلمة,Dark,אפל,Темный,Sombre
الست,Six,שֵׁשׁ,Шесть,Six
المعنى,the meaning,המשמעות,значение,le sens
تتحركي,Move,מהלך \ לזוז \ לעבור,Двигаться,Déplacer
غادروا,They left,הם עזבו,Они уехали,Ils sont partis
أموالي,Malian,מליאן,Малийский,Malien
ملكاً,King,מלך,Король,Roi
يلزم,Need,צוֹרֶך,Нуждаться,Besoin
للنظر,To be seen,להיראות,Чтобы увидеть,Être vu
دافئ,warm,נעים,теплый,chaud
دافيد,David,דוד,Дэйвид,David
الفلفل,Pepper,פלפל,Перец,Poivre
نومي,my sleep,השינה שלי,мой сон,mon sommeil
وطفل,And a child,וילד,И ребенок,Et un enfant
الصالة,Hall,אולם,Зал,Entrée
فرجينيا,Virginia,וירג'יניה,Вирджиния,Virginie
انهما,They are,הם,Они есть,Ils sont
تشائين,You want,אתה רוצה,Вы хотите,Tu veux
الفحوصات,Tests,בדיקות,Тесты,Tests
تأخذين,You take,אתה לוקח,Ты взял,Tu prends
ارسلت,I sent,שלחתי,Я отправил,j'ai envoyé
الأذى,Harm,לפגוע,Вред,Préjudice
ذكياً,Smart,לִכאוֹב,Умный,Intelligent
تزيد,Increase,להגביר,Увеличивать,Augmenter
كامبل,Campbell,קמפבל,Кэмпбелл,Campbell
تسكن,Live,לחיות,Жить,Tu vis
ستيفاني,Stephanie,סטפני,Стефани,Stonétique
إقناع,to convince,לשכנע,убедить,convaincre
فتي,boy,יֶלֶד,мальчик,garçon
تقاطع,Cross,לַחֲצוֹת,Крест,Croix
مكافأة,Reward,פרס,Награда,Récompense
أرسلوا,Send,לִשְׁלוֹחַ,Отправлять,Envoyer
تشاندلر,Chandler,צ'נדלר,Чендлер,Chandler
سحري,magic,קֶסֶם,магия,la magie
تنقذ,Rescue,לְהַצִיל,Спасать,Sauvetage
وأقول,And I say,ואני אומר,И я говорю,Et je dis
اسمى,my name,שמי,мое имя,mon nom
مغامرة,adventure,הַרפַּתקָה,приключение,aventure
عاطفي,passionate,מלא רגש,страстный,passionné
الوقوع,Fall,נפילה,Падать,Automne
أنتهيت,I finished,סיימתי,Я закончил,J'ai fini
للقبض,To arrest,לעצור,Арестовать,Arrêter
كأننا,As if,כאילו,Будто,Comme si
رغبتك,Your desire,התשוקות שלך,Ваше желание,Votre désire
امور,Things,דברים,Вещи,Choses
مرهق,exhausted,תָשׁוּשׁ,измученный,épuisé
أيوجد,Is there?,האם יש?,Есть?,Y a-t-il?
أرنب,rabbit,ארנב,кролик,lapin
حسبت,I calculated,חישבתי,Я рассчитал,J'ai calculé
كافيا,Adequate,נאות,Адекватный,Adéquat
سوفَ,will,רָצוֹן,воля,sera
يوجين,Eugene,יוג'ין,Юджин,Eugène
النظارات,the glasses,הכוסות,очки,les lunettes
كبرى,Major,גדול,Главный,Majeur
مريحة,comfortable,נוֹחַ,комфортный,confortable
فيليكس,Felix,פליקס,Феликс,Felix
ندع,We call,אנו קוראים,Мы называем,Nous appelons
تكلفة,Cost,עֲלוּת,Расходы,Coût
اللذين,who,WHO,ВОЗ,OMS
ون,T,T,Т,T
إرفع,take up,קח,занимать,prendre
مصادر,sources,מקורות,источники,sources
عوضاً,Instead,במקום זאת,Вместо,Plutôt
سفن,Ships,ספינות,Корабли,Navires
الحثالة,Scum,חֶלאַת אָדָם,Мрачный,Écume
سيناتور,Senator,סֵנָטוֹר,Сенатор,Sénateur
تكرهني,You hate me,אתה שונא אותי,Ты меня ненавидишь,Tu me détestes
المتأنق,dude,אחי,чувак,mec
نسأل,we ask,שאלנו,мы просим,nous demandons
الصليب,Cross,לַחֲצוֹת,Крест,Croix
تـرجـمـة,Trying,מנסה,Пытающийся,En essayant
بالأسى,With sorrow,עם צער,С печалью,Avec chagrin
قاسياً,Harshly,בחומרה,Резко,Durement
بكتابة,In writing,בכתב,На письме,En cours d'écriture
هيلز,Hills,גבעות,Холмы,Collines
رجلان,Two men,שני גברים,Двое мужчин,Deux hommes
هدفنا,Our goal,המטרה שלנו,Наша цель,Notre objectif
دماغ,brain,מוֹחַ,мозг,cerveau
يصدر,Export,יְצוּא,Экспорт,Exporter
يدمر,Destroy,להרוס,Разрушать,Détruire
الطرد,Expulsion,גֵרוּשׁ,Изгнание,Expulsion
كارلتون,Carlton,קרלטון,Карлтон,Carlton
التعاون,cooperation,שיתוף פעולה,сотрудничество,coopération
ووجدت,And found,ומצא,И нашел,Et trouvé
هونج,Hong,הונג,Хонг,Hong
أتيتُ,I came,באתי,я пришел,je suis venu
ناضج,mature,בּוֹגֵר,зрелый,mature
للحمام,For a bathroom,לשירותים,Для ванной комнаты,Pour une salle de bain
وارن,Ward,מַחלָקָה,Сторожить,Salle
أعراض,symptoms,תסמינים,Симптомы,symptômes
ابننا,Our son,הבן שלנו,Наш сын,Notre fils
هذي,rave,לְהִשְׁתוֹלֵל,бред,délirer
محبط,frustrated,מְתוּסכָּל,расстроенный,frustré
مخدر,anesthetic,הרדמה,анестетик,anesthésique
فلمَ,film,סרט צילום,фильм,film
المديرة,Manager,מנהל,Менеджер,Directeur
تشين,Chen Chen,חן צ'ן,Чен Чен,Chen Chen
إشارات,Signs,שלטים,Знаки,Panneaux
استدر,Turn out,לִצְמוֹחַ,Оказаться,Poursuivre
الحديثة,Modern,מוֹדֶרנִי,Современный,Moderne
أصدقائنا,Our friends,החברים שלנו,Наши друзья,Nos amis
الاصدقاء,friends,חברים,друзья,amis
الحجرة,Carrier,מוֹבִיל,Перевозчик,Transporteur
مندهش,Surprised,מוּפתָע,Удивлен,Surpris
ميلز,Mill,טחנה,Мельница,Moulin
الاسئلة,questions,שאלות,вопросы,des questions
ولي,Guardian,אַפּוֹטרוֹפּוֹס,Опекун,Gardien
الغامض,Mysterious,מסתורי,Загадочный,Mystérieux
القدامى,Ancient,עַתִיק,Древний,Ancien
متسع,Spacious,מְרוּוָח,Просторный,Spacieux
الجنائية,Criminal,פְּלִילִי,Преступник,Criminel
سيطرة,control,לִשְׁלוֹט,контроль,contrôle
تتخذ,Take,לקחת,Брать,Prendre
نفعاً,Benefit,תועלת,Выгода,Avantage
الشهادة,Certificate,תְעוּדָה,Сертификат,Certificat
حياتكم,Your life,החיים שלך,Твоя жизнь,Ta vie
والرجل,And the man,והאיש,И человек,Et l'homme
للطفل,For the child,לילד,Для ребенка,Pour l'enfant
يقطع,Cuts,חתכים,Порезы,Coupures
إيد,Hand,יד,Рука,Main
وأحضر,And bring,ותביא,И принесите,Et apporte
أريـد,I want,אני רוצה,Я хочу,Je veux
خطتي,My plan,התוכנית שלי,Мой план,Mon plan
يتضمن,It includes,מכיל,Оно включает,Il comprend
للإعجاب,Impressive,מרשימים,Впечатляющий,Impressionnant
جاهزين,Ready,מוּכָן,Готовый,Prêt
بمقدوري,I was able,הייתי יכול,Я мог,j'étais capable
فخوراً,Proudly,בגאווה,Гордо,Fièrement
المجهول,Unknown,לא ידוע,Неизвестный,Inconnu
الداعر,Dungeon,צִינוֹק,Подземелье,Donjon
صنعاً,Made,עָשׂוּי,Сделал,Fait
الأسابيع,Weeks,שבועות,Недели,Semaines
اتركها,Leave it,עזוב את זה,Оставь это,Laisse le
يتناول,Eating,אֲכִילָה,принимать пищу,Alimentaire
الجبهة,Front,חֲזִית,Передний,Devant
تحدي,challenge,אתגר,испытание,défi
لمنزلك,For your home,לבית שלך,Для вашего дома,Pour votre maison
